start_lr,seed,epoch,epoch_lr,train_loss,test_loss,test_correct,test_accuracy,epoch_time_sec
0.010000000000000002,0,6,,0.05243062609732151,0.05427353096008301,9827,98.27,21.58387517929077
0.010000000000000002,0,7,,0.045228073749939604,0.051851736450195314,9830,98.3,21.63776683807373
0.010000000000000002,0,8,,0.039028023168817164,0.04660093450546265,9843,98.43,21.578318119049072
0.010000000000000002,0,9,,0.03460316036753357,0.042595787525177,9851,98.51,22.021150588989258
0.010000000000000002,0,10,,0.030732146349921823,0.040861225700378416,9857,98.57,21.62843370437622
0.010000000000000002,1,1,,0.38683060729901,0.24598325576782226,9236,92.36,33.32997417449951
0.010000000000000002,1,2,,0.16127079314986864,0.13815147552490234,9595,95.95,21.537805557250977
0.010000000000000002,1,3,,0.11514548366765182,0.11424417190551758,9640,96.4,21.5090069770813
0.010000000000000002,1,4,,0.09130034132401149,0.07463462085723876,9775,97.75,21.860820055007935
0.010000000000000002,1,5,,0.07364184825370709,0.06754139175415039,9785,97.85,21.551061391830444
0.010000000000000002,1,6,,0.06246651460925738,0.06650756301879883,9804,98.04,21.64258050918579
0.010000000000000002,1,7,,0.05372884651273489,0.06268084449768066,9807,98.07,21.814926862716675
0.010000000000000002,1,8,,0.046250168173511824,0.07427352981567382,9757,97.57,21.515414714813232
0.010000000000000002,1,9,,0.04053864005630215,0.056426943397521974,9819,98.19,21.548948287963867
0.010000000000000002,1,10,,0.03629506304338574,0.06539770088195801,9792,97.92,21.726952075958252
0.010000000000000002,2,1,,0.44092128009001413,0.2150155372619629,9351,93.51,33.394718647003174
0.010000000000000002,2,2,,0.16871130844553311,0.13687594718933105,9584,95.84,21.80162286758423
0.010000000000000002,2,3,,0.11593671249647935,0.09817241497039796,9696,96.96,21.759767293930054
0.010000000000000002,2,4,,0.08746218116978804,0.08110024185180664,9743,97.43,21.92057704925537
0.010000000000000002,2,5,,0.06946090570290883,0.07097999439239502,9772,97.72,22.178979635238647
0.010000000000000002,2,6,,0.058713050390779974,0.05927832832336426,9801,98.01,21.889841318130493
0.010000000000000002,2,7,,0.04957850259169936,0.0701515697479248,9764,97.64,21.80992841720581
0.010000000000000002,2,8,,0.04360609479074677,0.05224653739929199,9830,98.3,21.869393825531006
0.010000000000000002,2,9,,0.03821938952896744,0.04644931030273437,9837,98.37,21.82395362854004
0.010000000000000002,2,10,,0.033243113157898185,0.05555806121826172,9797,97.97,21.895649433135986
0.010000000000000002,3,1,,0.42643621403773624,0.22738482818603514,9311,93.11,33.0260169506073
0.010000000000000002,3,2,,0.16117452783783276,0.11415253715515136,9652,96.52,21.56540822982788
0.010000000000000002,3,3,,0.10728688027958075,0.0904611557006836,9728,97.28,21.90953254699707
0.010000000000000002,3,4,,0.081734575471282,0.07032569980621338,9773,97.73,21.63131594657898
0.010000000000000002,3,5,,0.06514907055199146,0.07451633586883545,9760,97.6,21.619898796081543
0.010000000000000002,3,6,,0.05406933364917835,0.0563389368057251,9824,98.24,21.61012029647827
0.010000000000000002,3,7,,0.046402252109721306,0.051536009979248044,9827,98.27,21.601924180984497
0.010000000000000002,3,8,,0.040430774503697954,0.045101171493530275,9855,98.55,21.630967378616333
0.010000000000000002,3,9,,0.035716749353458484,0.04758278985023499,9829,98.29,21.628090143203735
0.010000000000000002,3,10,,0.03167248319505404,0.047501314163208005,9843,98.43,21.62434196472168
0.010000000000000002,4,1,,0.4054647185087204,0.2189244140625,9363,93.63,32.97969031333923
0.010000000000000002,4,2,,0.16789240184227625,0.14695283050537108,9537,95.37,21.474753618240356
0.010000000000000002,4,3,,0.11800466049909591,0.1020365577697754,9684,96.84,21.4809148311615
0.010000000000000002,4,4,,0.08755562840600808,0.08713758926391602,9716,97.16,21.570863246917725
0.010000000000000002,4,5,,0.07023971108297507,0.06698532638549805,9791,97.91,21.464300394058228
0.010000000000000002,4,6,,0.05837371237476667,0.056927642822265624,9818,98.18,21.478271484375
0.010000000000000002,4,7,,0.049017266961932184,0.0554760160446167,9840,98.4,21.486844778060913
0.010000000000000002,4,8,,0.04229054313500722,0.04931815443038941,9835,98.35,21.525185108184814
0.010000000000000002,4,9,,0.03691948212993642,0.04926699666976929,9841,98.41,21.758270502090454
